*******************************************************************************,,,,,,,,,,
JPL/HORIZONS                McNaught (C/2006 P1)           2023-Mar-07 20:43:19,,,,,,,,,,
Rec #:90003598 (+COV) Soln.date: 2021-Apr-15_23:30:59    # obs: 331 (2006-2007),,,,,,,,,,
 ,,,,,,,,,,
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):,,,,,,,
 ,,,,,,,,,,
  EPOCH=  2454065.5 ! 2006-Nov-26.0000000 (TDB)    RMSW= n.a.,,,,,,,,,,
   EC= 1.000018815882278   QR= .1707364648528884   TP= 2454113.2988436329,,,,,,,,,,
   OM= 267.4148026435385   W= 155.9749681149126    IN= 77.83700054890942,,,,,,,,,,
   A= -9074.061068728695   MA= -5.4502812965308E-5 ADIST= 9.999999E99,,,,,,,,,,
   PER= 9.999999E99        N= 1.14E-6              ANGMOM= .010052212,,,,,,,,,,
   DAN= 3.94245            DDN= .17847             L= 82.04948520000001,,,,,,,,,,
   B= 23.4529837           MOID= .40940601         TP= 2007-Jan-12.7988436329,,,,,,,,,,
 ,,,,,,,,,,
Comet physical (GM= km^3/s^2, RAD= km):,,,,,,,,,
   GM= n.a.                RAD= n.a.,,,,,,,,,,
   M1=  5.4      M2=  12.9     k1=  20.75  k2=  5.      PHCOF=  .030,,,,,,,,,,
 ,,,,,,,,,,
COMET comments ,,,,,,,,,,
1: soln ref.= JPL#27, data arc: 2006-08-07 to 2007-07-11,,,,,,,,,
2: k1=20.75, k2=5., phase coef.=0.03,,,,,,,,
*******************************************************************************,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
*******************************************************************************,,,,,,,,,,
Ephemeris / WWW_USER Tue Mar  7 20:43:19 2023 Pasadena, USA      / Horizons,,,,,,,,,
*******************************************************************************,,,,,,,,,,
Target body name: McNaught (C/2006 P1)            {source: JPL#27},,,,,,,,,,
Center body name: Solar System Barycenter (0)     {source: DE441},,,,,,,,,,
Center-site name: BODY CENTER,,,,,,,,,,
*******************************************************************************,,,,,,,,,,
Start time      : A.D. 2000-Dec-11 23:59:00.0000 TDB,,,,,,,,,,
Stop  time      : A.D. 2025-Dec-31 23:58:00.0000 TDB,,,,,,,,,,
Step-size       : 1 calendar months,,,,,,,,,,
*******************************************************************************,,,,,,,,,,
Center geodetic : 0.0,0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)},,,,,,
Center cylindric: 0.0,0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)},,,,,,
Center radii    : (undefined),,,,,,,,,,
Small perturbers: Yes                             {source: SB441-N16},,,,,,,,,,
Output units    : KM-S,,,,,,,,,,
Calendar mode   : Mixed Julian/Gregorian,,,,,,,,,,
